# MJD residual_us
5.329190906752078445e+04 2.895678611539952652e+00
5.329190906752195588e+04 1.225001239592910451e+01
5.329190906753041781e+04 4.496390667462717872e+00
5.329190906753369927e+04 8.048954598186252696e+00
5.329190906753910531e+04 1.010097472335388957e+01
5.329190906754194293e+04 1.212057532025737849e+01
5.329190906754780008e+04 9.205796309882792627e+00
5.329190906755020114e+04 1.102853823117700927e+01
5.329190906755648757e+04 1.809856843597851039e+00
5.329190906755857577e+04 1.396700777309246888e+01
5.329190906756540790e+04 7.382744483379465983e+00
5.329190906756691402e+04 7.728874168043521564e+00
5.329196969248464302e+04 1.099406868476764665e-01
5.329196969248586538e+04 1.424308166354183847e+01
5.329196969249434187e+04 7.695318320679464641e+00
5.329196969249760878e+04 9.851346077415767510e+00
5.329196969250292750e+04 3.890319380179467768e+00
5.329196969250578695e+04 7.716168054470162296e+00
5.329196969251165137e+04 6.062221170404641590e+00
5.329196969251410337e+04 1.191428175272655388e+01
5.329196969252044073e+04 6.888239071375978462e+00
5.329196969252246345e+04 1.357403075098486056e+01
5.329196969252935378e+04 1.250831838772278104e+01
5.329196969253083807e+04 1.045390510566252829e+01
5.329291541772106575e+04 -3.243523091803898417e+00
5.329291541772833443e+04 -1.114061098270076489e+00
5.329291541772944038e+04 -2.405797660710343955e+00
5.329291541773201607e+04 -2.984425120031555245e+00
5.329291541773716745e+04 -5.457121617176929895e-01
5.329291541774356301e+04 -3.987416112361252818e+00
5.329291541774556390e+04 1.292318416559935734e+00
5.329291541775572841e+04 -3.672741806421780719e+00
5.329291541776845406e+04 -5.492780665614945157e+00
5.329294709594967571e+04 2.747822665059009850e+00
5.329294709595685708e+04 -3.071164144670373020e+00
5.329294709595799213e+04 -1.730651945707328609e+00
5.329294709596053872e+04 -4.756394237900538613e+00
5.329294709596569737e+04 -1.743633530577841650e+00
5.329294709597215115e+04 1.329113784098037154e-01
5.329294709597400652e+04 -7.089188482522922108e+00
5.329294709598427289e+04 -3.256556327542631912e+00
5.329294709599703492e+04 -2.413493640069944934e+00
5.329299538294112426e+04 -2.210864551745713447e-01
5.329299538294834201e+04 -3.050159458275164326e+00
5.329299538294949161e+04 -4.502441403556453059e-01
5.329299538295204547e+04 -2.551487542904418593e+00
5.329299538295716775e+04 -2.971305799512630852e+00
5.329299538296360697e+04 -2.351856937369140255e+00
5.329299538296551327e+04 -5.509842669072230414e+00
5.329299538297577237e+04 -2.018364498454233935e+00
5.329299538298850530e+04 -3.368104985866365642e+00
5.344631049861114298e+04 5.692507528415122309e+00
5.344631049861830979e+04 3.977078894161949929e+00
5.344631049861951033e+04 -1.017901666285182388e-01
5.344631049862203508e+04 2.045388074806464118e+00
5.344631049862722284e+04 2.368911896178772736e+00
5.344631049863353110e+04 -2.292045232132124521e+00
5.344631049863566295e+04 8.718026000339685666e+00
5.344631049864575471e+04 4.343507370042257065e+00
5.344631049865847308e+04 2.886384727596265964e+00
5.344632393812259397e+04 8.870312709147678554e-01
5.344632393812896771e+04 1.784740576974777060e+00
5.344632393813098315e+04 3.317462873491649589e+00
5.344632393814112584e+04 3.083983732326735616e+00
5.344632393815382238e+04 -2.669524261370372908e-01
5.344632393815998512e+04 2.879549596039427062e+00
5.344632393816843251e+04 3.804082919644966587e+00
5.344632393817087723e+04 -5.502402211910522034e-01
5.344633956638454401e+04 5.372995257805452951e+00
5.344633956639085955e+04 2.002552288122736446e+00
5.344633956639286771e+04 1.994184847476312861e+00
5.344633956640299584e+04 1.084303153480040693e+00
5.344633956641575060e+04 2.510125369804239615e+00
5.344633956642183330e+04 -8.286900515914811249e-01
5.344633956643029524e+04 1.383929839837464426e+00
5.344633956643281999e+04 3.532846993834790617e+00
5.345026518956498330e+04 -7.402161582390021977e+00
5.345026518956606742e+04 -3.399994060852972400e+00
5.345026518957460212e+04 -5.504766939508645152e+00
5.345026518957779626e+04 -7.799701097875988864e+00
5.345026518958328234e+04 -1.012053905835338163e+00
5.345026518958602537e+04 -5.562202704933555175e+00
5.345026518959191890e+04 -6.387704097268144920e+00
5.345026518959432724e+04 -2.889717917068949316e+00
5.345026518960068643e+04 -7.117978505620365048e+00
