# MJD residual_seconds
5.339356138361542253e+04 -8.156153148899755479e-06
5.339356138361753256e+04 -8.536050901466439849e-06
5.339356138361965714e+04 -8.491904855378539337e-06
5.339356138362181082e+04 -8.166351174972510274e-06
5.339356138362396450e+04 -8.573472038875312574e-06
5.339356138362615457e+04 -8.379556317725605726e-06
5.339356138362835190e+04 -8.325705973037588075e-06
5.339356138363057107e+04 -8.559562544215144504e-06
5.339356138363281934e+04 -8.055807296357493023e-06
5.339356138363507489e+04 -8.206155824318252449e-06
5.339356138363735226e+04 -8.321960454279647948e-06
5.339356138363964419e+04 -8.678091187818677969e-06
5.339356138364196522e+04 -8.376559902719254641e-06
5.339356138364430808e+04 -8.200197044476075436e-06
5.339356138364666549e+04 -8.150671071444952695e-06
5.339356138364903745e+04 -8.502783884861827776e-06
5.339356505917920003e+04 -7.360417688775430366e-06
5.339356505918130279e+04 -7.891957875782891135e-06
5.339356505918342009e+04 -8.511160226811407867e-06
5.339356505918558105e+04 -7.509029658039327135e-06
5.339356505918772746e+04 -8.680781151290294166e-06
5.339356505918992480e+04 -7.962577929455320536e-06
5.339356505919212213e+04 -8.072951557217703528e-06
5.339356505919434130e+04 -8.307727482999481563e-06
5.339356505919657502e+04 -8.309225690502657953e-06
5.339356505919883784e+04 -8.338628012752485918e-06
5.339356505920112249e+04 -7.682396101276153561e-06
5.339356505920341442e+04 -8.408124410797534296e-06
5.339356505920573545e+04 -7.842295702069660988e-06
5.339356505920807103e+04 -7.812042125556663426e-06
5.339356505921042844e+04 -8.000680070274726906e-06
5.339356505921281496e+04 -7.857056450992996961e-06
5.339357289274790674e+04 -8.181537551027443750e-06
5.339357289275001676e+04 -8.170045618474673676e-06
5.339357289275214862e+04 -8.178064433633718436e-06
5.339357289275428775e+04 -8.206428225682480814e-06
5.339357289275645599e+04 -8.215689872065750577e-06
5.339357289275863877e+04 -8.182610131399036189e-06
5.339357289276083611e+04 -8.377394131897174365e-06
5.339357289276306255e+04 -8.062072527734425253e-06
5.339357289276529627e+04 -8.135706021498470859e-06
5.339357289276755910e+04 -8.101536675374900606e-06
5.339357289276983647e+04 -8.131994552911057583e-06
5.339357289277213567e+04 -8.181452425601128315e-06
5.339357289277444943e+04 -8.098148683407492421e-06
5.339357289277679229e+04 -8.105946172458112646e-06
5.339357289277914970e+04 -8.184091313816949152e-06
5.339357289278152894e+04 -8.254387890869375156e-06
5.339460668261486717e+04 -8.166830339125938910e-06
5.339460668261532555e+04 -7.958681646696026714e-06
5.339460668261578394e+04 -7.993940598276457913e-06
5.339460668261624232e+04 -8.012429840872472282e-06
5.339460668261670071e+04 -8.309551628888736086e-06
5.339460668261716637e+04 -8.257437842897572621e-06
5.339460668261763931e+04 -8.071387711139509208e-06
5.339460668261810497e+04 -8.239340177262615352e-06
5.339460668261857791e+04 -8.061632337283600096e-06
5.339460668261905084e+04 -8.341422588501757406e-06
5.339460668261953106e+04 -8.181965639925071945e-06
5.339460668262001127e+04 -8.062977319019405654e-06
5.339460668262049148e+04 -8.134159200505539965e-06
5.339460668262098625e+04 -7.303896867466970355e-06
5.339460668262146646e+04 -8.201255061528465632e-06
5.339460668262195395e+04 -7.949641326421178099e-06
5.342048727059443627e+04 4.937005697996354834e-06
5.342048727059649536e+04 4.984386510284500221e-06
5.342048727059856901e+04 4.761885670976641689e-06
5.342048727060065721e+04 4.860903566868791459e-06
5.342048727060276724e+04 4.694772784868172228e-06
5.342048727060489909e+04 4.619896459879576359e-06
5.342048727060704550e+04 4.685834615104867745e-06
5.342048727060919919e+04 4.335220009189645241e-06
5.342048727061139653e+04 5.066379320913213163e-06
5.342048727061359386e+04 5.226755624094790233e-06
5.342048727061581303e+04 4.654525483305407340e-06
5.342048727061803947e+04 3.627282913765406227e-06
5.342048727062038961e+04 1.161575937090481036e-05
5.342048727062264516e+04 9.725413078849604850e-06
5.342048727062487887e+04 4.050151981538655329e-06
5.342049912437728926e+04 5.171883774290741722e-06
5.342049912437934836e+04 5.038458181081185507e-06
5.342049912438142201e+04 4.770823840739954642e-06
5.342049912438351748e+04 5.259120311180594051e-06
5.342049912438562023e+04 4.640513838133607893e-06
5.342049912438775209e+04 4.773479754041050764e-06
5.342049912438989850e+04 4.880891016968075391e-06
5.342049912439205946e+04 4.771589969576809651e-06
5.342049912439424224e+04 4.517643797787382461e-06
5.342049912439646141e+04 5.876518003173876128e-06
5.342049912439868785e+04 6.439878074541009089e-06
5.342049912440093613e+04 7.222980921403323905e-06
5.342049912440314802e+04 3.368093015714847273e-06
5.342049912440543267e+04 4.135379558367429341e-06
5.342049912440773187e+04 4.355905487784729631e-06
5.342052457567207603e+04 4.903123316557466256e-06
5.342052457567252713e+04 4.558365339972863927e-06
5.342052457567300007e+04 5.518920650535987154e-06
5.342052457567345846e+04 5.435906334791467816e-06
5.342052457567390957e+04 4.591325905042878331e-06
5.342052457567438978e+04 5.469190376481487310e-06
5.342052457567484817e+04 4.626159229491870421e-06
5.342052457567531383e+04 4.817282836659215692e-06
5.342052457567579404e+04 4.979599999560825846e-06
5.342052457567625970e+04 4.624814247756058935e-06
5.342052457567673991e+04 4.495304424157092352e-06
5.342052457567722013e+04 4.805484452571653977e-06
5.342052457567770034e+04 4.359376143413810000e-06
5.342052457567818783e+04 4.767518512434188996e-06
5.342052457567867532e+04 4.852354512301896590e-06
5.342149039848427492e+04 5.191360471832943654e-06
5.342149039848633402e+04 5.227640928529334562e-06
5.342149039848840766e+04 5.036976998664072142e-06
5.342149039849050314e+04 5.110780743281083196e-06
5.342149039849261317e+04 5.116484146844335926e-06
5.342149039849473775e+04 5.087303150702799513e-06
5.342149039849688415e+04 5.085958168966988027e-06
5.342149039849905239e+04 5.132828228697238263e-06
5.342149039850123518e+04 5.221103295788173119e-06
5.342149039850343252e+04 5.202103300634174661e-06
5.342149039850565168e+04 5.150176790580682722e-06
5.342149039850789268e+04 5.149444711914355412e-06
5.342149039851014822e+04 5.104821963438879078e-06
5.342149039851243288e+04 5.178234131094832185e-06
5.342149039851472480e+04 5.041011943871507449e-06
5.342149039851704583e+04 5.005242239733020162e-06
5.344840223300374055e+04 -4.200766164955539724e-06
5.344840223300579964e+04 -4.257578874479884746e-06
5.344840223300787329e+04 -4.252130847195560533e-06
5.344840223300996149e+04 -4.233692679855175506e-06
5.344840223301207152e+04 -4.274110232270756765e-06
5.344840223301420338e+04 -3.937149744735294047e-06
5.344840223301634978e+04 -4.221026016419121477e-06
5.344840223301851074e+04 -4.340303763775297693e-06
5.344840223302070081e+04 -4.059049355222052238e-06
5.344840223302289814e+04 -4.293620979982743547e-06
5.344840223302511731e+04 -4.150729439366072904e-06
5.344840223302735831e+04 -4.191776919936404306e-06
5.344840223302961385e+04 -4.231275117747756335e-06
5.344840223303189123e+04 -4.162306497345262599e-06
5.344840223303419043e+04 -4.269207007714864718e-06
5.344840223303651146e+04 -4.241864720781661403e-06
5.344841269234122592e+04 -4.239191782395297620e-06
5.344841269234328502e+04 -4.081096840638308949e-06
5.344841269234535866e+04 -4.148090551150235126e-06
5.344841269234745414e+04 -4.187946275752120791e-06
5.344841269234955689e+04 -4.475465915682340828e-06
5.344841269235168875e+04 -4.183009001025701894e-06
5.344841269235384243e+04 -4.041683768253274896e-06
5.344841269235600339e+04 -4.290505389379527305e-06
5.344841269235818618e+04 -3.822894397531859787e-06
5.344841269236038352e+04 -4.070030535217025417e-06
5.344841269236260996e+04 -4.054520682541964030e-06
5.344841269236484368e+04 -4.206980321076729110e-06
5.344841269236709923e+04 -4.279013456826655587e-06
5.344841269236938388e+04 -4.221349493039135038e-06
5.344841269237167580e+04 -4.236484793838398516e-06
5.344841269237399683e+04 -4.243805580501709733e-06
5.344843132230765332e+04 -4.209894072421481703e-06
5.344843132230810443e+04 -4.444550822608491835e-06
5.344843132230856281e+04 -4.490399377223134728e-06
5.344843132230902847e+04 -3.831239151075672320e-06
5.344843132230948686e+04 -4.368908368782700450e-06
5.344843132230995252e+04 -4.369129694891125833e-06
5.344843132231042546e+04 -3.577582405734580297e-06
5.344843132231088384e+04 -4.587765839845169263e-06
5.344843132231137133e+04 -3.803930914312995856e-06
5.344843132231182972e+04 -4.781358084376584567e-06
5.344843132231231721e+04 -4.332917338535631927e-06
5.344843132231279742e+04 -4.117720260804818300e-06
5.344843132231328491e+04 -3.536177398373714836e-06
5.344843132231376512e+04 -4.033122612130418349e-06
5.344843132231425261e+04 -4.065946976518472730e-06
5.344844174250859214e+04 -5.041416261776765778e-06
5.344844174250905053e+04 -4.893876872883155323e-06
5.344844174250952346e+04 -3.833384311818880914e-06
5.344844174250997457e+04 -4.428819643825012689e-06
5.344844174251044751e+04 -3.786786653452643897e-06
5.344844174251090590e+04 -4.237032058331529838e-06
5.344844174251137156e+04 -4.595716554663238247e-06
5.344844174251183722e+04 -4.586114406574616111e-06
5.344844174251231743e+04 -4.379378796219768314e-06
5.344844174251279037e+04 -4.401511407062336225e-06
5.344844174251326331e+04 -4.423661042990167561e-06
5.344844174251375080e+04 -4.277841187708172431e-06
5.344844174251423101e+04 -4.349823248202308631e-06
5.344844174251469667e+04 -5.859148132068597015e-06
5.344844174251519871e+04 -4.656445033798191536e-06
5.350528404304835567e+04 2.747903209775930966e-06
5.350528404305042932e+04 2.647642482658179342e-06
5.350528404305252479e+04 3.103812617212948915e-06
5.350528404305463482e+04 2.693559137614296913e-06
5.350528404305675940e+04 2.584309165477327285e-06
5.350528404305890581e+04 2.836961430790187891e-06
5.350528404306107404e+04 2.868406763272185995e-06
5.350528404306325683e+04 2.935179147676299195e-06
5.350528404306546145e+04 3.159399520598831264e-06
5.350528404306767334e+04 2.769031340588145219e-06
5.350528404306991433e+04 2.549356665431013064e-06
5.350528404307217716e+04 2.835054621240656671e-06
5.350528404307445453e+04 2.770137971130283567e-06
5.350528404307675373e+04 3.081884307393342214e-06
5.350528404307906749e+04 2.538392510521209714e-06
5.350530112646555790e+04 3.472675652770950749e-06
5.350530112646600173e+04 2.426024486016316642e-06
5.350530112646647467e+04 3.613183681452018256e-06
5.350530112646691850e+04 2.539445604042885735e-06
5.350530112646739144e+04 3.207816401324038074e-06
5.350530112646783527e+04 1.613451216551880031e-06
5.350530112646831549e+04 2.485067481710723983e-06
5.350530112646880298e+04 3.989863692910715127e-06
5.350530112646926864e+04 3.314989313058840106e-06
5.350530112646973430e+04 2.888885479079709970e-06
5.350530112647021451e+04 2.664154353599267503e-06
5.350530112647070928e+04 4.311365403029856951e-06
5.350530112647118949e+04 4.283291037430065439e-06
5.350530112647169881e+04 5.921359616074064357e-06
5.350530112647217902e+04 5.411849889388215137e-06
5.356904732559190597e+04 5.281372097746417986e-06
5.356904732559396507e+04 5.073614982271718363e-06
5.356904732559603872e+04 5.274545038555615674e-06
5.356904732559813419e+04 5.218260106673345026e-06
5.356904732560024422e+04 5.134615862772074853e-06
5.356904732560236880e+04 5.204452762524366182e-06
5.356904732560451521e+04 5.197336276884079702e-06
5.356904732560667617e+04 5.209185736227715449e-06
5.356905778494725382e+04 5.320189292147992771e-06
5.356905778494931292e+04 5.274510988385097293e-06
5.356905778495138657e+04 5.314945565886728871e-06
5.356905778495347477e+04 5.248837159807219275e-06
5.356905778495558479e+04 5.344484088819500264e-06
5.356905778495771665e+04 5.374737665333352481e-06
5.356905778495986306e+04 5.319150761946898385e-06
5.356905778496202402e+04 5.366327273213012605e-06
5.356907960981663928e+04 5.974580032669742947e-06
5.356907960981708311e+04 4.773715643584436452e-06
5.356907960981755605e+04 5.703098023052470941e-06
